Name,Exchange,Maker,Months,Contracts,Code,Ticked
0D,CME,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts),FGHJKMNQUVXZ,5,CHRIS/CME_0D,FALSE
0F,CME,Mini Singapore Fuel Oil 180 cst (Platts),HJKMNQUVXZ,2,CHRIS/CME_0F,FALSE
1MF,SGX,Platts Singapore Fuel Oil 180cst Index,FGHJKMNQUVXZ,3,CHRIS/SGX_1MF,FALSE
1N,CME,Singapore Mogas 92 Unleaded (Platts),FGHJKMNQUVXZ,4,CHRIS/CME_1N,FALSE
1NB,CME,Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread,HJKMNQU,4,CHRIS/CME_1NB,FALSE
1R,CME,Propane Non-LDH Mont Belvieu (OPIS),FGHJKMNQUVXZ,2,CHRIS/CME_1R,FALSE
1U,CME,NY Jet Fuel (Platts) vs. NY Harbor ULSD,HJKMNQU,4,CHRIS/CME_1U,FALSE
3MF,SGX,Platts Singapore Fuel Oil 380cst Index,FGHJKMNQUVXZ,2,CHRIS/SGX_3MF,FALSE
46,CME,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,12,CHRIS/CME_46,FALSE
47,CME,PJM METED Zone Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_47,FALSE
4L,CME,NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP,HJKMNQUVXZ,2,CHRIS/CME_4L,FALSE
4M,CME,NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP,HJKMNQUVXZ,10,CHRIS/CME_4M,FALSE
4N,CME,PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_4N,FALSE
4P,CME,PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,16,CHRIS/CME_4P,FALSE
58,CME,NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP,FGHJKMNQUVXZ,12,CHRIS/CME_58,FALSE
5C,CME,Chicago ULSD (Platts) vs. NY Harbor ULSD,FGHJKMNQUVXZ,2,CHRIS/CME_5C,FALSE
5Z,CME,Columbia Gulf Mainline Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,9,CHRIS/CME_5Z,FALSE
6T,CME,In Delivery Month European Union Allowance (EUA),HMUZ,6,CHRIS/CME_6T,FALSE
6Z,CME,Tennessee 800 Leg Natural Gas (Platts IFERC) Basis,JKUVX,2,CHRIS/CME_6Z,FALSE
71,CME,Ethanol Forward Month,FGHJKMNQUVXZ,2,CHRIS/CME_71,FALSE
7H,CME,Gasoline Euro-bob Oxy NWE Barges (Argus),FGHJKMNQUVXZ,5,CHRIS/CME_7H,FALSE
7K,CME,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread,FGHJKMNQUVXZ,10,CHRIS/CME_7K,FALSE
7Q,CME,Mont Belvieu Natural Gasoline (OPIS),FGHJKMNQUVXZ,3,CHRIS/CME_7Q,FALSE
7Y,CME,NY ULSD (Argus) vs. NY Harbor ULSD,FGHJKMNQUVXZ,2,CHRIS/CME_7Y,FALSE
8I,CME,Mont Belvieu Iso-Butane (OPIS),FGHJKMNQUVXZ,2,CHRIS/CME_8I,FALSE
8Z,CME,Southern Star Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_8Z,FALSE
9F,CME,Texas Gas Zone 1 Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_9F,FALSE
A3,CME,NYISO Zone C 5 MW Off-Peak Calendar-Month Day-Ahead LBMP,FGHJKMNQUVXZ,34,CHRIS/CME_A3,FALSE
A5,CME,EIA Flat Tax On-Highway Diesel,FGHJKMNQUVXZ,2,CHRIS/CME_A5,FALSE
A6,CME,Group Three ULSD (Platts) vs. NY Harbor ULSD,FGHJKMNQUVXZ,10,CHRIS/CME_A6,FALSE
AB,ODE,Azuki Beans,FGHJKMNQUVXZ,2,CHRIS/ODE_AB,FALSE
ABY,CME,WTI-Brent Bullet,FGHJKMNQUVXZ,4,CHRIS/CME_ABY,FALSE
AD,CME,Australian Dollar,HMUZ,2,CHRIS/CME_AD,FALSE
AFF,CME,WTI Midland (Argus) vs. WTI Financial,HJKMNQUVXZ,10,CHRIS/CME_AFF,FALSE
AFR,ICE,Richards Bay Coal,FGHJKMNQUVXZ,6,CHRIS/ICE_AFR,FALSE
AFR,ICE,Richards Bay Coal,FGHJKMNQUVXZ,6,CHRIS/ICE_AFR,FALSE
AG,MCX,Silver 1000,FGHJKMNQUVXZ,2,CHRIS/MCX_AG,FALSE
AG,SHFE,Silver,FGHJKMNQUVXZ,11,CHRIS/SHFE_AG,FALSE
AGA,CME,Singapore Gasoil (Platts) vs. Gasoil,HJKMNQUVXZ,10,CHRIS/CME_AGA,FALSE
AGM,MCX,Silver Micro,FGHJKMNQUVXZ,2,CHRIS/MCX_AGM,FALSE
AL,SHFE,Aluminium,FGHJKMNQUVXZ,11,CHRIS/SHFE_AL,FALSE
AL,MCX,Aluminium,FGHJKMNQUVXZ,2,CHRIS/MCX_AL,FALSE
ALM,MCX,Aluminium Mini,FGHJKMNQUVXZ,2,CHRIS/MCX_ALM,FALSE
AP,ASX,SPI 200 Index,HMUZ,2,CHRIS/ASX_AP,FALSE
AP,SGX,MSCI Asia APEX 50 Index,FGHJKMNQUVXZ,2,CHRIS/SGX_AP,FALSE
AR,ICE,AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR,MUZ,2,CHRIS/ICE_AR,FALSE
ARW,CME,Gulf Coast Unl 87 Gasoline M1 (Platts) Crack Spread,HJKMNQU,2,CHRIS/CME_ARW,FALSE
ATW,ICE,Rotterdam Coal,FGHJKMNQUVXZ,5,CHRIS/ICE_ATW,FALSE
ATW,ICE,Rotterdam Coal,FGHJKMNQUVXZ,5,CHRIS/ICE_ATW,FALSE
AU,SHFE,Gold,FGHJKMNQUVXZ,9,CHRIS/SHFE_AU,FALSE
AW,CME,Dow Jones-UBS Commodity Index,HMUZ,2,CHRIS/CME_AW,FALSE
AXF,LIFFE,AEX Dividend Index,Z,2,CHRIS/LIFFE_AXF,FALSE
B,MCX,Brent Crude Oil,FGHJKZ,1,CHRIS/MCX_B,FALSE
B,ICE,Brent Crude Oil,FGHJKMNQUVXZ,25,CHRIS/ICE_B,FALSE
B0,CME,Mont Belvieu LDH Propane (OPIS),FGHJKMNQUVXZ,11,CHRIS/CME_B0,FALSE
B3,CME,PJM Northern Illinois Hub 5 MW Peak Calendar-Month Real-Time LMP,FGHJKMNQUVXZ,30,CHRIS/CME_B3,FALSE
B4,CME,Algonquin City-Gates Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,7,CHRIS/CME_B4,FALSE
B6,CME,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,34,CHRIS/CME_B6,FALSE
BAX,MX,3-Month Canadian Bankers Acceptance,FGHJKMNQUVXZ,2,CHRIS/MX_BAX,FALSE
BB,CME,Brent Crude Oil,FGHJKMNQUVXZ,5,CHRIS/CME_BB,FALSE
BB,ASX,90-day New Zealand Bank Bills,HMUZ,2,CHRIS/ASX_BB,FALSE
BK,CME,WTI-Brent Financial,FGHJKMNQUVXZ,34,CHRIS/CME_BK,FALSE
BO,CME,Soybean Oil,FHKNQUVZ,10,CHRIS/CME_BO,FALSE
BOB,CME,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (1000mt),FGHJKMNQUVXZ,2,CHRIS/CME_BOB,FALSE
BP,CME,British Pound,HMUZ,2,CHRIS/CME_BP,FALSE
BPB,ICE,Endex Belgian Power Base Load,FGHJKMNQUVXZ,2,CHRIS/ICE_BPB,FALSE
BR,CME,Brazilian Real,FGHJKMNQUVXZ,4,CHRIS/CME_BR,FALSE
BW,ICE,Barley,HKNVZ,2,CHRIS/ICE_BW,FALSE
BW,ICE,Barley,HKNVZ,2,CHRIS/ICE_BW,FALSE
BXF,LIFFE,BEL 20 Index,FGHJKMNQUVXZ,2,CHRIS/LIFFE_BXF,FALSE
BY,CME,British Pound/Japanese Yen,HMUZ,2,CHRIS/CME_BY,FALSE
BZ,CME,Brent Look-Alike,FGHJKMNQUVXZ,16,CHRIS/CME_BZ,FALSE
C,LIFFE,Cocoa,HUZ,4,CHRIS/LIFFE_C,FALSE
C,CME,Corn,HKNUZ,11,CHRIS/CME_C,FALSE
C,ICE,EUA,FGHJKMNQUVXZ,16,CHRIS/ICE_C,FALSE
C,ICE,EUA ,FGHJKMNQUVXZ,16,CHRIS/ICE_C,FALSE
C0,CME,Mont Belvieu Ethane (OPIS),FGHJKMNQUVXZ,10,CHRIS/CME_C0,FALSE
C75,ODE,Corn75 Index,FHKNUX,5,CHRIS/ODE_C75,FALSE
CB,CME,Cash-settled Butter,FGHJKMNQUVXZ,7,CHRIS/CME_CB,FALSE
CC,ICE,Cocoa,HKNUZ,6,CHRIS/ICE_CC,FALSE
CD,CME,Canadian Dollar,HMUZ,4,CHRIS/CME_CD,FALSE
CER,ICE,CER Emissions,HJKMUZ,5,CHRIS/ICE_CER,FALSE
CEU,ICE,ECX EUAA,HJKMUZ,2,CHRIS/ICE_CEU,FALSE
CFF,SGX,China Coal Index,FGHJKMNQUVXZ,5,CHRIS/SGX_CFF,FALSE
CGB,MX,10-year Canadian Bond,HMUZ,2,CHRIS/MX_CGB,FALSE
CGF,MX,5-year Canadian Bond,HMUZ,2,CHRIS/MX_CGF,FALSE
CGZ,MX,2-year Canadian Bond,HMUZ,2,CHRIS/MX_CGZ,FALSE
CI,CME,CIG Rockies Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_CI,FALSE
CIF,SGX,IHS McCloskey Indonesian Sub-Bit FOB Index Futures,FGHJKMNQUVXZ,2,CHRIS/SGX_CIF,FALSE
CL,MCX,Crude Oil,FGHJKZ,4,CHRIS/MCX_CL,FALSE
CL,CME,WTI Crude Oil,FGHJKMNQUVXZ,38,CHRIS/CME_CL,FALSE
CN,SGX,FTSE China A50 Index,FGHJKMNQUVXZ,2,CHRIS/SGX_CN,FALSE
CNH,CME,Standard-Size USD/Offshore RMB (CNH),FGHJKMNQUVXZ,2,CHRIS/CME_CNH,FALSE
CONF,EUREX,CONF,HMUZ,2,CHRIS/EUREX_CONF,FALSE
CPO,CME,Crude Palm Oil,FHKMNQUX,2,CHRIS/CME_CPO,FALSE
CRDM,MCX,Cardamom,FGHJZ,3,CHRIS/MCX_CRDM,FALSE
CS,CME,WTI Financial,FGHJKMNQUVXZ,34,CHRIS/CME_CS,FALSE
CSC,CME,Cash-Settled Cheese,FGHJKMNQUVXZ,10,CHRIS/CME_CSC,FALSE
CT,MCX,Cotton,FGHJZ,3,CHRIS/MCX_CT,FALSE
CT,ICE,Cotton,HKNVZ,6,CHRIS/ICE_CT,FALSE
CU,CME,Chicago Ethanol (Platts),FGHJKMNQUVXZ,13,CHRIS/CME_CU,FALSE
CU,MCX,Copper,GJMQVZ,2,CHRIS/MCX_CU,FALSE
CU,SHFE,Copper,FGHJKMNQUVXZ,11,CHRIS/SHFE_CU,FALSE
CUM,MCX,Copper Mini,FGHJKMNQUVXZ,2,CHRIS/MCX_CUM,FALSE
CY,CME,Brent Financial,FGHJKMNQUVXZ,22,CHRIS/CME_CY,FALSE
CZ,CME,Transco Zone 3 Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_CZ,FALSE
D0,CME,Mont Belvieu Normal Butane (OPIS),FGHJKMNQUVXZ,10,CHRIS/CME_D0,FALSE
D2,CME,NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,34,CHRIS/CME_D2,FALSE
D3,CME,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,10,CHRIS/CME_D3,FALSE
D4,CME,NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,34,CHRIS/CME_D4,FALSE
D6,CME,PJM Duquesne Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,HJKMNQUVXZ,2,CHRIS/CME_D6,FALSE
D7,CME,PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,22,CHRIS/CME_D7,FALSE
D8,CME,PJM ComEd Zone 5 MW Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_D8,FALSE
D9,CME,PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,22,CHRIS/CME_D9,FALSE
DA,CME,Class III Milk,FGHJKMNQUVXZ,10,CHRIS/CME_DA,FALSE
DB,CME,Brent Crude Oil vs. Dubai Crude Oil (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_DB,FALSE
DC,CME,Dubai Crude Oil (Platts) Financial,HJKMNQUVXZ,2,CHRIS/CME_DC,FALSE
DJ,CME,Full-Size Dow Jones,HMUZ,2,CHRIS/CME_DJ,FALSE
DJIA,OSE,OSE DJIA,HMUZ,4,CHRIS/OSE_DJIA,FALSE
DK,CME,Class IV Milk,FGHJKMNQUVXZ,10,CHRIS/CME_DK,FALSE
DPA,ICE,Endex Dutch Power Peak Load (8-20) Futures,FGHJKMNQUVXZ,2,CHRIS/ICE_DPA,FALSE
DPB,ICE,Endex Dutch Power Base Load,FGHJKMNQUVXZ,2,CHRIS/ICE_DPB,FALSE
DW,ICE,Durum Wheat,HKNVZ,11,CHRIS/ICE_DW,FALSE
DW,ICE,Durum Wheat,HKNVZ,11,CHRIS/ICE_DW,FALSE
DX,ICE,US Dollar Index,HMUZ,2,CHRIS/ICE_DX,FALSE
DY,CME,Dry Whey,FGHJKMNQUVXZ,2,CHRIS/CME_DY,FALSE
E3,CME,PJM BGE Zone Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_E3,FALSE
E4,CME,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,51,CHRIS/CME_E4,FALSE
E5,CME,Argus LLS vs. WTI (Argus) Trade Month,FJKMNQUVXZ,2,CHRIS/CME_E5,FALSE
E7,CME,E-mini Euro FX,MU,2,CHRIS/CME_E7,FALSE
E8,CME,PJM DPL Zone Off-Peak Calendar-Month Day-Ahead LMP,HJK,3,CHRIS/CME_E8,FALSE
EBM,LIFFE,Milling Wheat,FHKUXZ,6,CHRIS/LIFFE_EBM,FALSE
EC,CME,Euro FX,HMUZ,2,CHRIS/CME_EC,FALSE
ECO,LIFFE,Rapeseed,GKQX,9,CHRIS/LIFFE_ECO,FALSE
ED,SGX,Eurodollar,FGHJKMNQUVXZ,4,CHRIS/SGX_ED,FALSE
ED,CME,3-month Eurodollar,HJKMNQUZ,37,CHRIS/CME_ED,FALSE
EH,CME,Ethanol,FGHJKMNQUVXZ,4,CHRIS/CME_EH,FALSE
EJ,CME,MISO Indiana Hub (formerly Cinergy Hub) Off-Peak LMP,FGHJKMNQUVXZ,2,CHRIS/CME_EJ,FALSE
EL,SGX,Euroyen LIBOR,HMUZ,2,CHRIS/SGX_EL,FALSE
EM,CME,1-month Eurodollar,FGHJKMNQUVXZ,3,CHRIS/CME_EM,FALSE
EMA,LIFFE,Corn,FHMQX,10,CHRIS/LIFFE_EMA,FALSE
EN,CME,European Naphtha (Platts) Crack Spread,FGHJKMNQUVXZ,10,CHRIS/CME_EN,FALSE
EO3,LIFFE,3-month EONIA Swap,FGHMUZ,2,CHRIS/LIFFE_EO3,FALSE
EOB,LIFFE,Malting Barley,FHKX,9,CHRIS/LIFFE_EOB,FALSE
EON,LIFFE,1-month EONIA,FGHJKMNQUVXZ,2,CHRIS/LIFFE_EON,FALSE
EPE,LIFFE,FTSE EPRA/NAREIT Euro Zone Index,HMUZ,2,CHRIS/LIFFE_EPE,FALSE
EPL,LIFFE,Skimmed Milk Powder,FHKNUX,2,CHRIS/LIFFE_EPL,FALSE
EPR,LIFFE,FTSE EPRA/NAREIT Europe Index,HMUZ,2,CHRIS/LIFFE_EPR,FALSE
ERU,ICE,ECX ERU Emission,HMUZ,2,CHRIS/ICE_ERU,FALSE
ES,CME,E-mini S&P 500 Index,HMUZ,4,CHRIS/CME_ES,FALSE
EW,CME,East-West Fuel Oil Spread (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_EW,FALSE
EY,SGX,Euroyen TIBOR,HMUZ,2,CHRIS/SGX_EY,FALSE
EY,CME,Euroyen Tibor,HMUZ,2,CHRIS/CME_EY,FALSE
F2,CME,PJM JCPL Zone Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,39,CHRIS/CME_F2,FALSE
F2CR,EUREX,CER Mid December,Z,2,CHRIS/EUREX_F2CR,FALSE
F2MX,EUREX,MDAX,HMUZ,2,CHRIS/EUREX_F2MX,FALSE
F5,CME,PJM PPL Zone Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,22,CHRIS/CME_F5,FALSE
FB,SGX,Fuel Oil 380cst,FGHJKMNQUVXZ,2,CHRIS/SGX_FB,FALSE
FBTP,EUREX,Long-Term Euro-BTP,HMUZ,2,CHRIS/EUREX_FBTP,FALSE
FBTS,EUREX,Short-Term Euro-BTP,HMUZ,2,CHRIS/EUREX_FBTS,FALSE
FBUT,EUREX,Butter,FGHJKMNQUVXZ,2,CHRIS/EUREX_FBUT,FALSE
FC,CME,Feeder Cattle,FHJKQUVX,7,CHRIS/CME_FC,FALSE
FCAG,EUREX,Dow Jones-UBS Agriculture,HMUZ,2,CHRIS/EUREX_FCAG,FALSE
FCCO,EUREX,Dow Jones-UBS Commodity Index,HMUZ,2,CHRIS/EUREX_FCCO,FALSE
FCE,LIFFE,CAC40 Index,FGHJKMNQUVXZ,3,CHRIS/LIFFE_FCE,FALSE
FCEN,EUREX,Dow Jones-UBS Energy Index,HMUZ,2,CHRIS/EUREX_FCEN,FALSE
FCGR,EUREX,Dow Jones-UBS Grains,HMUZ,2,CHRIS/EUREX_FCGR,FALSE
FCIN,EUREX,Dow Jones-UBS Industrial Metals,HMUZ,2,CHRIS/EUREX_FCIN,FALSE
FCLI,EUREX,Dow Jones-UBS Livestock,HMUZ,2,CHRIS/EUREX_FCLI,FALSE
FCPE,EUREX,Dow Jones-UBS Petroleum,HMUZ,2,CHRIS/EUREX_FCPE,FALSE
FCPR,EUREX,Dow Jones-UBS Precious Metals,HMUZ,2,CHRIS/EUREX_FCPR,FALSE
FCSO,EUREX,Dow Jones-UBS Softs,HMUZ,2,CHRIS/EUREX_FCSO,FALSE
FCXE,EUREX,Dow Jones-UBS EX Energy Index,HMUZ,2,CHRIS/EUREX_FCXE,FALSE
FDAX,EUREX,DAX,HMUZ,3,CHRIS/EUREX_FDAX,FALSE
FDIV,EUREX,TecDAX,HMUZ,3,CHRIS/EUREX_FDIV,FALSE
FDM,CME,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,10,CHRIS/CME_FDM,FALSE
FEAA,EUREX,EUAA,Z,2,CHRIS/EUREX_FEAA,FALSE
FEDV,EUREX,EURO STOXX Select Dividend 30 Index,HMUZ,2,CHRIS/EUREX_FEDV,FALSE
FEF,LIFFE,FTSEUROFIRST 80 Index,HMUZ,2,CHRIS/LIFFE_FEF,FALSE
FEF,SGX,Iron Ore,FGHJKMNQUVXZ,2,CHRIS/SGX_FEF,FALSE
FEO,LIFFE,FTSEUROFIRST 100 Index,HMUZ,2,CHRIS/LIFFE_FEO,FALSE
FEO1,EUREX,1-month EONIA,FGHJKMNQUVXZ,2,CHRIS/EUREX_FEO1,FALSE
FEPP,EUREX,Potatos,JMX,2,CHRIS/EUREX_FEPP,FALSE
FERU,EUREX,ERU,Z,2,CHRIS/EUREX_FERU,FALSE
FESX,EUREX,EURO STOXX 50 Index,HMUZ,3,CHRIS/EUREX_FESX,FALSE
FEU3,EUREX,3-month EURIBOR,HMUZ,2,CHRIS/EUREX_FEU3,FALSE
FEXD,EUREX,EURO STOXX 50 Index Dividend,Z,10,CHRIS/EUREX_FEXD,FALSE
FEXF,EUREX,EURO STOXX 50 ex Financials Index,HMUZ,2,CHRIS/EUREX_FEXF,FALSE
FF,CME,30 Day Fed Funds,FGHJKMNQUVXZ,24,CHRIS/CME_FF,FALSE
FFOX,EUREX,OMXH25 Index,HMUZ,2,CHRIS/EUREX_FFOX,FALSE
FGBL,EUREX,Euro-Bund,HMUZ,2,CHRIS/EUREX_FGBL,FALSE
FGBM,EUREX,Euro-Bobl,HMUZ,2,CHRIS/EUREX_FGBM,FALSE
FGBS,EUREX,Euro-Schatz,HMUZ,2,CHRIS/EUREX_FGBS,FALSE
FGBX,EUREX,Euro-Buxl,HMUZ,2,CHRIS/EUREX_FGBX,FALSE
FH,CME,WTS (Argus) vs. WTI Trade Month,FGHJKMNQUVXZ,2,CHRIS/CME_FH,FALSE
FHOG,EUREX,Hogs,FGHJKMNQUVXZ,2,CHRIS/EUREX_FHOG,FALSE
FI,CME,1% Fuel Oil Cargoes FOB NWE (Platts) Crack Spread,HJKMNQUVXZ,2,CHRIS/CME_FI,FALSE
FMAS,EUREX,MSCI AC Asia Pacific ex Japan Index Futures,HMUZ,2,CHRIS/EUREX_FMAS,FALSE
FMCL,EUREX,MSCI Chile Index,HMUZ,2,CHRIS/EUREX_FMCL,FALSE
FMCN,EUREX,MSCI China Free Index,HMUZ,2,CHRIS/EUREX_FMCN,FALSE
FMCO,EUREX,MSCI Columbia Index,HMUZ,2,CHRIS/EUREX_FMCO,FALSE
FMCZ,EUREX,MSCI Czech Republic Index,HMUZ,2,CHRIS/EUREX_FMCZ,FALSE
FMEA,EUREX,MSCI Emerging Markets Asia Index,HMUZ,2,CHRIS/EUREX_FMEA,FALSE
FMEE,EUREX,MSCI Emerging Markets EMEA Index,HMUZ,2,CHRIS/EUREX_FMEE,FALSE
FMEL,EUREX,MSCI Emerging Markets Latin America Index,HMUZ,2,CHRIS/EUREX_FMEL,FALSE
FMEM,EUREX,MSCI Emerging Markets Index,HMUZ,2,CHRIS/EUREX_FMEM,FALSE
